gene,gene_name,gene_type,chr,start,end,strand,length
ENSG00000167965.13,MLST8,protein_coding,chr16,2254249,2259417,+,4323
ENSG00000167967.11,E4F1,protein_coding,chr16,2273567,2285743,+,6402
ENSG00000167968.8,DNASE1L2,protein_coding,chr16,2285817,2288712,+,2194
ENSG00000167969.8,ECI1,protein_coding,chr16,2289396,2302301,-,3234
ENSG00000167970.6,AC009065.1,protein_coding,chr16,2303738,2312343,+,537
ENSG00000167971.14,CASKIN1,protein_coding,chr16,2227184,2246526,-,5886
ENSG00000167972.9,ABCA3,protein_coding,chr16,2325882,2390747,-,7804
ENSG00000167977.4,KCTD5,protein_coding,chr16,2732476,2759031,+,3420
ENSG00000167978.12,SRRM2,protein_coding,chr16,2802330,2822539,+,13266
ENSG00000167981.4,ZNF597,protein_coding,chr16,3486104,3493542,-,1831
ENSG00000167984.12,NLRC3,polymorphic_pseudogene,chr16,3589033,3627401,-,6838
ENSG00000167985.2,SDHAF2,protein_coding,chr11,61197514,61215001,+,2492
ENSG00000167986.9,DDB1,protein_coding,chr11,61066923,61110068,-,13950
ENSG00000167987.6,VPS37C,protein_coding,chr11,60897728,60929089,-,3960
ENSG00000167992.8,VWCE,protein_coding,chr11,61025762,61062896,-,4869
ENSG00000167994.7,RAB3IL1,protein_coding,chr11,61664773,61687741,-,3006
ENSG00000167995.11,BEST1,protein_coding,chr11,61717293,61732987,+,8930
ENSG00000167996.11,FTH1,protein_coding,chr11,61727190,61735132,-,2030
ENSG00000168000.10,BSCL2,protein_coding,chr11,62457747,62477317,-,4004
ENSG00000168002.7,POLR2G,protein_coding,chr11,62529016,62534182,+,1923
ENSG00000168003.12,SLC3A2,protein_coding,chr11,62623518,62656352,+,5239
ENSG00000168004.5,HRASLS5,protein_coding,chr11,63228876,63258666,-,3268
ENSG00000168005.4,C11orf84,protein_coding,chr11,63580860,63595190,+,2807
ENSG00000168010.6,ATG16L2,protein_coding,chr11,72525353,72554719,+,8617
ENSG00000168014.12,C2CD3,protein_coding,chr11,73723763,73882255,-,12567
ENSG00000168016.9,TRANK1,protein_coding,chr3,36868311,36986548,-,11182
ENSG00000168026.12,TTC21A,protein_coding,chr3,39149152,39180394,+,7720
ENSG00000168028.9,RPSA,protein_coding,chr3,39448180,39454033,+,3936
ENSG00000168032.4,ENTPD3,protein_coding,chr3,40428647,40470110,+,3365
ENSG00000168036.12,CTNNB1,protein_coding,chr3,41236328,41301587,+,6606
ENSG00000168038.6,ULK4,protein_coding,chr3,41288090,42003922,-,6579
ENSG00000168040.4,FADD,protein_coding,chr11,70049269,70053496,+,1841
ENSG00000168056.10,LTBP3,protein_coding,chr11,65306276,65326401,-,10298
ENSG00000168060.10,NAALADL1,protein_coding,chr11,64812290,64826021,-,4044
ENSG00000168061.9,SAC3D1,protein_coding,chr11,64808373,64812300,+,1772
ENSG00000168062.5,BATF2,protein_coding,chr11,64755415,64764517,-,2844
ENSG00000168065.11,SLC22A11,protein_coding,chr11,64323098,64340347,+,5222
ENSG00000168066.16,SF1,protein_coding,chr11,64532078,64546258,-,5972
ENSG00000168067.7,MAP4K2,protein_coding,chr11,64556290,64570713,-,3745
ENSG00000168070.7,C11orf85,protein_coding,chr11,64704989,64739557,-,2301
ENSG00000168071.17,CCDC88B,protein_coding,chr11,64107695,64125006,+,8331
ENSG00000168077.9,SCARA3,protein_coding,chr8,27491385,27534293,+,4031
ENSG00000168078.5,PBK,protein_coding,chr8,27667137,27695612,-,2165
ENSG00000168079.12,SCARA5,protein_coding,chr8,27727399,27850244,-,4435
ENSG00000168081.4,PNOC,protein_coding,chr8,28174503,28200872,+,2126
ENSG00000168090.5,COPS6,protein_coding,chr7,99686577,99689823,+,2807
ENSG00000168092.9,PAFAH1B2,protein_coding,chr11,117014983,117047610,+,7101
ENSG00000168096.10,ANKS3,protein_coding,chr16,4746513,4784379,-,7775
ENSG00000168101.10,NUDT16L1,protein_coding,chr16,4743695,4745860,+,2068
ENSG00000168116.9,KIAA1586,protein_coding,chr6,56911347,56920023,+,3078
ENSG00000168118.7,RAB4A,protein_coding,chr1,229406822,229441641,+,3297
ENSG00000168122.4,ZNF355P,pseudogene,chr21,14467626,14486111,-,3216
ENSG00000168124.2,OR1F1,protein_coding,chr16,3254247,3255188,+,942
ENSG00000168126.3,OR2W6P,pseudogene,chr6,27905243,27906181,+,939
ENSG00000168129.7,AC098817.5,pseudogene,chr2,83083927,83084885,+,959
ENSG00000168131.2,OR2B2,protein_coding,chr6,27878963,27880174,-,1212
ENSG00000168135.4,KCNJ4,protein_coding,chr22,38822332,38851205,-,2065
ENSG00000168137.11,SETD5,protein_coding,chr3,9439299,9520924,+,10808
ENSG00000168140.4,VASN,protein_coding,chr16,4421849,4433529,+,2806
ENSG00000168143.8,FAM83B,protein_coding,chr6,54711569,54806820,+,3167
ENSG00000168148.3,HIST3H3,protein_coding,chr1,228612546,228613026,-,481
ENSG00000168152.8,THAP9,protein_coding,chr4,83821837,83841122,+,4332
ENSG00000168158.2,OR2C1,protein_coding,chr16,3405889,3406924,+,1036
ENSG00000168159.9,RNF187,protein_coding,chr1,228674762,228683467,+,3285
ENSG00000168172.4,HOOK3,protein_coding,chr8,42752075,42885682,+,15250
ENSG00000168175.10,MAPK1IP1L,protein_coding,chr14,55518349,55536910,+,6988
ENSG00000168209.4,DDIT4,protein_coding,chr10,74033678,74035794,+,2058
ENSG00000168214.16,RBPJ,protein_coding,chr4,26165077,26436541,+,9041
ENSG00000168216.6,LMBRD1,protein_coding,chr6,70385694,70507003,-,2402
ENSG00000168228.10,ZCCHC4,protein_coding,chr4,25314407,25372005,+,4353
ENSG00000168229.3,PTGDR,protein_coding,chr14,52734431,52743442,+,3033
ENSG00000168234.8,TTC39C,protein_coding,chr18,21572737,21715574,+,7188
ENSG00000168237.13,GLYCTK,protein_coding,chr3,52321105,52329272,+,4793
ENSG00000168242.3,HIST1H2BI,protein_coding,chr6,26273144,26273622,+,479
ENSG00000168243.6,GNG4,protein_coding,chr1,235710987,235814054,-,5413
ENSG00000168246.5,UBTD2,protein_coding,chr5,171636644,171711075,-,3301
ENSG00000168255.14,POLR2J3,protein_coding,chr7,102178365,102213103,-,5594
ENSG00000168256.13,NKIRAS2,protein_coding,chr17,40163400,40177659,+,5563
ENSG00000168259.10,DNAJC7,protein_coding,chr17,40128451,40173394,-,9373
ENSG00000168260.1,C14orf183,protein_coding,chr14,50550369,50559361,-,975
ENSG00000168263.8,KCNV2,protein_coding,chr9,2717502,2730037,+,2186
ENSG00000168264.6,IRF2BP2,protein_coding,chr1,234740015,234745271,-,4724
ENSG00000168267.5,PTF1A,protein_coding,chr10,23481256,23483181,+,1537
ENSG00000168268.6,NT5DC2,protein_coding,chr3,52558386,52569070,-,4734
ENSG00000168269.7,FOXI1,protein_coding,chr5,169532901,169536727,+,2310
ENSG00000168273.3,SMIM4,protein_coding,chr3,52568029,52613253,+,2482
ENSG00000168274.3,HIST1H2AE,protein_coding,chr6,26217165,26217711,+,547
ENSG00000168275.10,COA6,protein_coding,chr1,234509202,234519795,+,1257
ENSG00000168280.12,KIF5C,protein_coding,chr2,149632819,149883273,+,9221
ENSG00000168282.4,MGAT2,protein_coding,chr14,50087489,50090198,+,2710
ENSG00000168283.9,BMI1,protein_coding,chr10,22610140,22620413,+,4283
ENSG00000168286.1,THAP11,protein_coding,chr16,67876213,67878097,+,1885
ENSG00000168288.8,MMADHC,protein_coding,chr2,150426148,150444330,-,2191
ENSG00000168291.8,PDHB,protein_coding,chr3,58413357,58419584,-,4717
ENSG00000168297.11,PXK,protein_coding,chr3,58318607,58411748,+,5249
ENSG00000168298.4,HIST1H1E,protein_coding,chr6,26156559,26157343,+,785
ENSG00000168300.9,PCMTD1,protein_coding,chr8,52730140,52811735,-,7307
ENSG00000168301.8,KCTD6,protein_coding,chr3,58477841,58488087,+,3068
ENSG00000168303.6,MPLKIP,protein_coding,chr7,40165622,40174258,-,7668
ENSG00000168306.8,ACOX2,protein_coding,chr3,58490863,58523046,-,3859
ENSG00000168309.12,FAM107A,protein_coding,chr3,58549844,58613337,-,5321
ENSG00000168310.6,IRF2,protein_coding,chr4,185308867,185395734,-,3116
ENSG00000168314.13,MOBP,protein_coding,chr3,39508689,39570970,+,9237
ENSG00000168329.9,CX3CR1,protein_coding,chr3,39304985,39323226,-,3655
ENSG00000168333.9,C8orf22,protein_coding,chr8,49966870,49988649,+,2059
ENSG00000168334.8,XIRP1,protein_coding,chr3,39224701,39234087,-,6467
ENSG00000168348.3,INSM2,protein_coding,chr14,36003248,36006260,+,3013
ENSG00000168350.6,DEGS2,protein_coding,chr14,100612756,100626500,-,2004
ENSG00000168356.7,SCN11A,protein_coding,chr3,38887260,38992052,-,7705
ENSG00000168367.5,LINC00917,lincRNA,chr16,86365450,86383289,-,3179
ENSG00000168374.6,ARF4,protein_coding,chr3,57557090,57583947,-,2595
ENSG00000168385.13,SEPT2,protein_coding,chr2,242254515,242293442,+,7378
ENSG00000168386.14,FILIP1L,protein_coding,chr3,99548985,99833357,-,5897
ENSG00000168389.13,MFSD2A,protein_coding,chr1,40420802,40435638,+,3987
ENSG00000168393.8,DTYMK,protein_coding,chr2,242615157,242626406,-,2451
ENSG00000168394.9,TAP1,protein_coding,chr6,32812986,32821755,-,4742
ENSG00000168395.10,ING5,protein_coding,chr2,242641450,242668893,+,8200
ENSG00000168397.12,ATG4B,protein_coding,chr2,242576628,242613272,+,6638
ENSG00000168398.5,BDKRB2,protein_coding,chr14,96671016,96710666,+,7008
ENSG00000168404.8,MLKL,protein_coding,chr16,74705753,74734858,-,5692
ENSG00000168405.10,CMAHP,pseudogene,chr6,25081548,25166793,-,4328
ENSG00000168411.9,RFWD3,protein_coding,chr16,74655292,74700779,-,6465
ENSG00000168412.6,MTNR1A,protein_coding,chr4,187454809,187476721,-,1289
ENSG00000168418.6,KCNG4,protein_coding,chr16,84255823,84273356,-,3003
ENSG00000168421.8,RHOH,protein_coding,chr4,40192673,40248587,+,6594
ENSG00000168427.7,KLHL30,protein_coding,chr2,239047363,239061588,+,3726
ENSG00000168434.8,COG7,protein_coding,chr16,23399814,23464501,-,4343
ENSG00000168438.10,CDC40,protein_coding,chr6,110501344,110575478,+,5940
ENSG00000168439.12,STIP1,protein_coding,chr11,63952744,63972015,+,4657
ENSG00000168447.6,SCNN1B,protein_coding,chr16,23289552,23392620,+,3918
ENSG00000168453.10,HR,protein_coding,chr8,21971928,21990897,-,8784
ENSG00000168454.10,TXNDC2,protein_coding,chr18,9885763,9889272,+,3352
ENSG00000168461.8,RAB31,protein_coding,chr18,9708162,9862548,+,5586
ENSG00000168476.7,REEP4,protein_coding,chr8,21995533,21999464,-,2266
ENSG00000168477.13,TNXB,protein_coding,chr6,32008931,32083111,-,15166
ENSG00000168481.4,LGI3,protein_coding,chr8,22004338,22014597,-,4514
ENSG00000168484.8,SFTPC,protein_coding,chr8,22014426,22021992,+,3189
ENSG00000168487.13,BMP1,protein_coding,chr8,22022249,22069839,+,7471
ENSG00000168488.14,ATXN2L,protein_coding,chr16,28834356,28848558,+,6508
ENSG00000168490.9,PHYHIP,protein_coding,chr8,22077222,22089854,-,4165
ENSG00000168491.5,CCDC110,protein_coding,chr4,186366336,186392913,-,3388
ENSG00000168495.8,POLR3D,protein_coding,chr8,22102617,22112113,+,5613
ENSG00000168496.3,FEN1,protein_coding,chr11,61560109,61564716,+,2478
ENSG00000168497.4,SDPR,protein_coding,chr2,192699028,192711981,-,3229
ENSG00000168502.13,SOGA2,protein_coding,chr18,8705659,8832776,+,12665
ENSG00000168505.6,GBX2,protein_coding,chr2,237073879,237077012,-,2315
ENSG00000168509.13,HFE2,protein_coding,chr1,145413095,145417545,+,2329
ENSG00000168515.3,SCGB1D1,protein_coding,chr11,61957688,61961011,+,453
ENSG00000168517.6,HEXIM2,protein_coding,chr17,43238067,43247407,+,2038
ENSG00000168522.8,FNTA,protein_coding,chr8,42889337,42940931,+,9551
ENSG00000168528.7,SERINC2,protein_coding,chr1,31882412,31907525,+,3520
ENSG00000168530.11,MYL1,protein_coding,chr2,211154874,211179914,-,1342
ENSG00000168538.11,TRAPPC11,protein_coding,chr4,184580420,184634745,+,5839
ENSG00000168539.3,CHRM1,protein_coding,chr11,62676151,62689279,-,3250
ENSG00000168542.8,COL3A1,protein_coding,chr2,189839046,189877472,+,6816
ENSG00000168546.6,GFRA2,protein_coding,chr8,21547915,21669869,-,5731
ENSG00000168556.5,ING2,protein_coding,chr4,184426147,184432249,+,1426
ENSG00000168564.5,CDKN2AIP,protein_coding,chr4,184365744,184369351,+,3193
ENSG00000168566.11,SNRNP48,protein_coding,chr6,7590432,7612200,+,5836
ENSG00000168569.7,TMEM223,protein_coding,chr11,62539101,62559493,-,2280
ENSG00000168575.5,SLC20A2,protein_coding,chr8,42273993,42397069,-,6641
ENSG00000168582.4,CRYGA,protein_coding,chr2,209025464,209028300,-,609
ENSG00000168589.10,DYNLRB2,protein_coding,chr16,80574631,80584657,+,1464
ENSG00000168591.11,TMUB2,protein_coding,chr17,42264338,42269099,+,3511
ENSG00000168594.11,ADAM29,protein_coding,chr4,175750819,175899331,+,5957
ENSG00000168610.10,STAT3,protein_coding,chr17,40465342,40540586,-,8812
ENSG00000168612.4,ZSWIM1,protein_coding,chr20,44509866,44513905,+,2769
ENSG00000168614.13,NBPF9,protein_coding,chr1,144811744,144830413,+,7327
ENSG00000168615.7,ADAM9,protein_coding,chr8,38854388,38962663,+,6913
ENSG00000168619.11,ADAM18,protein_coding,chr8,39442008,39587583,+,3825
ENSG00000168621.10,GDNF,protein_coding,chr5,37812779,37839788,-,4193
ENSG00000168630.3,SPINT5P,pseudogene,chr20,44378559,44378713,+,155
ENSG00000168631.7,DPCR1,protein_coding,chr6,30908749,30921998,+,5314
ENSG00000168634.4,WFDC13,protein_coding,chr20,44330655,44337456,+,1372
ENSG00000168646.8,AXIN2,protein_coding,chr17,63524681,63557765,-,5196
ENSG00000168653.6,NDUFS5,protein_coding,chr1,39491990,39500308,+,548
ENSG00000168658.14,VWA3B,protein_coding,chr2,98703579,98929762,+,8307
ENSG00000168661.10,ZNF30,protein_coding,chr19,35417807,35436074,+,2745
ENSG00000168671.5,UGT3A2,protein_coding,chr5,36035119,36071460,-,2694
ENSG00000168672.3,FAM84B,protein_coding,chr8,127564687,127570638,-,5404
ENSG00000168675.14,LDLRAD4,protein_coding,chr18,13217497,13652754,+,16759
ENSG00000168676.6,KCTD19,protein_coding,chr16,67323331,67360666,-,7383
ENSG00000168679.13,SLC16A4,protein_coding,chr1,110905470,110933704,-,3167
ENSG00000168685.10,IL7R,protein_coding,chr5,35852797,35879705,+,6060
ENSG00000168701.14,TMEM208,protein_coding,chr16,67261006,67263181,+,1787
ENSG00000168702.12,LRP1B,protein_coding,chr2,140988992,142889270,-,17040
ENSG00000168703.5,WFDC12,protein_coding,chr20,43752066,43753106,-,775
ENSG00000168710.13,AHCYL1,protein_coding,chr1,110527308,110566357,+,4736
ENSG00000168724.10,DNAJC21,protein_coding,chr5,34929698,34959069,+,9137
ENSG00000168734.9,PKIG,protein_coding,chr20,43160426,43252888,+,2496
ENSG00000168743.8,NPNT,protein_coding,chr4,106815932,106925184,+,6117
ENSG00000168746.6,C20orf62,protein_coding,chr20,43080624,43093984,-,890
ENSG00000168748.9,CA7,protein_coding,chr16,66878282,66888056,+,1862
ENSG00000168754.9,FAM178B,protein_coding,chr2,97541620,97684175,-,3969
ENSG00000168757.8,TSPY2,protein_coding,chrY,6114264,6117060,+,1941
ENSG00000168758.6,SEMA4C,protein_coding,chr2,97525453,97536494,-,6157
ENSG00000168763.11,CNNM3,protein_coding,chr2,97481982,97499648,+,4416
ENSG00000168765.11,GSTM4,protein_coding,chr1,110198703,110208118,+,5370
ENSG00000168769.8,TET2,protein_coding,chr4,106067032,106200973,+,16474
ENSG00000168772.9,CXXC4,protein_coding,chr4,105389469,105416058,-,5819
ENSG00000168778.7,TCTN2,protein_coding,chr12,124155660,124192948,+,5104
ENSG00000168779.15,SHOX2,protein_coding,chr3,157814948,157824292,-,3838
ENSG00000168781.17,PPIP5K1,protein_coding,chr15,43825660,43882430,-,8054
ENSG00000168785.3,TSPAN5,protein_coding,chr4,99391518,99579780,-,7430
ENSG00000168787.4,OR12D2,protein_coding,chr6,29364416,29365448,+,1033
ENSG00000168792.4,ABHD15,protein_coding,chr17,27887565,27894155,-,3592
ENSG00000168795.4,ZBTB5,protein_coding,chr9,37438111,37465396,-,4627
ENSG00000168802.8,CHTF8,protein_coding,chr16,69151913,69166487,-,3383
ENSG00000168803.10,ADAL,protein_coding,chr15,43622872,43646096,+,5054
ENSG00000168806.6,LCMT2,protein_coding,chr15,43619974,43622803,-,2830
ENSG00000168807.12,SNTB2,protein_coding,chr16,69221032,69342955,+,9875
ENSG00000168811.2,IL12A,protein_coding,chr3,159706537,159713806,+,2040
ENSG00000168813.12,ZNF507,protein_coding,chr19,32836500,32878573,+,11239
ENSG00000168818.5,STX18,protein_coding,chr4,4417469,4544073,-,5332
ENSG00000168824.10,NSG1,protein_coding,chr4,4349867,4420785,+,4355
ENSG00000168826.11,ZBTB49,protein_coding,chr4,4291924,4323513,+,2943
ENSG00000168827.10,GFM1,protein_coding,chr3,158362067,158410364,+,9032
ENSG00000168828.4,OR13J1,protein_coding,chr9,35869375,35870461,-,1087
ENSG00000168830.6,HTR1E,protein_coding,chr6,87647024,87726349,+,2000
ENSG00000168843.9,FSTL5,protein_coding,chr4,162305049,163085187,-,5355
ENSG00000168852.8,TPTE2P5,pseudogene,chr13,41396432,41495890,-,1343
ENSG00000168872.11,DDX19A,protein_coding,chr16,70380732,70407286,+,7879
ENSG00000168874.8,ATOH8,protein_coding,chr2,85978467,86015189,+,6076
ENSG00000168875.1,SOX14,protein_coding,chr3,137483579,137484396,+,818
ENSG00000168876.4,ANKRD49,protein_coding,chr11,94226795,94232749,+,3526
ENSG00000168878.12,SFTPB,protein_coding,chr2,85884437,85895864,-,4110
ENSG00000168883.15,USP39,protein_coding,chr2,85829979,85876403,+,3950
ENSG00000168884.10,TNIP2,protein_coding,chr4,2743375,2758103,-,2686
ENSG00000168887.6,C2orf68,protein_coding,chr2,85833777,85839189,-,4413
ENSG00000168890.9,TMEM150A,protein_coding,chr2,85825671,85830319,-,3094
ENSG00000168894.5,RNF181,protein_coding,chr2,85822848,85824736,+,1220
ENSG00000168899.4,VAMP5,protein_coding,chr2,85811531,85820535,+,819
ENSG00000168903.8,BTNL3,protein_coding,chr5,180415845,180433727,+,2440
ENSG00000168904.10,LRRC28,protein_coding,chr15,99791567,99930934,+,9348
ENSG00000168906.8,MAT2A,protein_coding,chr2,85766288,85772403,+,4487
ENSG00000168907.9,PLA2G4F,protein_coding,chr15,42433332,42448839,-,4014
ENSG00000168913.6,ENHO,protein_coding,chr9,34521038,34523039,-,1082
ENSG00000168916.11,ZNF608,protein_coding,chr5,123972608,124084500,-,6920
ENSG00000168917.8,SLC35G2,protein_coding,chr3,136537489,136574734,+,4287
ENSG00000168918.9,INPP5D,protein_coding,chr2,233924677,234116549,+,6998
ENSG00000168924.10,LETM1,protein_coding,chr4,1813206,1857974,-,8184
ENSG00000168925.6,CTRB1,protein_coding,chr16,75252898,75258822,+,1016
ENSG00000168928.8,CTRB2,protein_coding,chr16,75237994,75241083,-,2346
ENSG00000168930.9,TRIM49,protein_coding,chr11,89530823,89541743,-,2163
ENSG00000168936.6,TMEM129,protein_coding,chr4,1717679,1723085,-,3442
ENSG00000168938.5,PPIC,protein_coding,chr5,122358945,122372436,-,2098
ENSG00000168939.6,SPRY3,protein_coding,chrX,154997474,155012121,+,9019
ENSG00000168944.11,CEP120,protein_coding,chr5,122680579,122759286,-,6057
ENSG00000168952.11,STXBP6,protein_coding,chr14,25278862,25519503,-,8067
ENSG00000168955.3,TM4SF20,protein_coding,chr2,228226872,228246711,-,2757
ENSG00000168958.15,MFF,protein_coding,chr2,228189867,228222550,+,6162
ENSG00000168959.10,GRM5,protein_coding,chr11,88237744,88799113,-,8657
ENSG00000168961.12,LGALS9,protein_coding,chr17,25956824,25976586,+,5714
ENSG00000168967.10,PMCHL1,pseudogene,chr5,22142461,22152465,+,1917
ENSG00000168970.16,JMJD7-PLA2G4B,protein_coding,chr15,42120293,42140353,+,7862
ENSG00000168992.3,OR7E102P,pseudogene,chr2,96212279,96213315,+,1037
ENSG00000168993.10,CPLX1,protein_coding,chr4,778745,819986,-,2418
ENSG00000168994.9,PXDC1,protein_coding,chr6,3722848,3752260,-,2474
ENSG00000168995.9,SIGLEC7,protein_coding,chr19,51645556,51656783,+,2043
ENSG00000169006.6,NTSR2,protein_coding,chr2,11798304,11810290,-,1569
ENSG00000169016.12,E2F6,protein_coding,chr2,11584501,11606297,-,4061
ENSG00000169018.5,FEM1B,protein_coding,chr15,68570141,68588203,+,7569
ENSG00000169019.9,COMMD8,protein_coding,chr4,47452885,47465736,-,1694
ENSG00000169020.5,ATP5I,protein_coding,chr4,666225,668127,-,940
ENSG00000169021.4,UQCRFS1,protein_coding,chr19,29698173,29704448,-,1530
ENSG00000169026.8,MFSD7,protein_coding,chr4,675618,683230,-,2644
ENSG00000169031.14,COL4A3,protein_coding,chr2,228029281,228179508,+,9124
ENSG00000169032.5,MAP2K1,protein_coding,chr15,66679155,66784650,+,3759
ENSG00000169035.7,KLK7,protein_coding,chr19,51479729,51487355,-,2443
ENSG00000169040.10,PMCHL2,pseudogene,chr5,70671613,70681820,+,2854
ENSG00000169045.13,HNRNPH1,protein_coding,chr5,179041179,179061785,-,9480
ENSG00000169047.5,IRS1,protein_coding,chr2,227596033,227664475,-,9953
ENSG00000169057.15,MECP2,protein_coding,chrX,153287024,153363212,-,12556
ENSG00000169059.8,VCX3A,protein_coding,chrX,6451659,6453159,-,995
ENSG00000169062.10,UPF3A,protein_coding,chr13,115047059,115071283,+,3091
ENSG00000169064.8,ZBBX,protein_coding,chr3,166958075,167099134,-,3972
ENSG00000169067.2,ACTBL2,protein_coding,chr5,56775846,56778636,-,2791
ENSG00000169071.10,ROR2,protein_coding,chr9,94325373,94712444,-,5818
ENSG00000169075.7,BRD7P3,pseudogene,chr6,118822593,118824069,+,1477
ENSG00000169083.11,AR,protein_coding,chrX,66764465,66950461,+,12094
ENSG00000169084.8,DHRSX,protein_coding,chrX,2137557,2420846,-,3620
ENSG00000169085.7,C8orf46,protein_coding,chr8,67372238,67430759,+,5808
ENSG00000169087.6,HSPBAP1,protein_coding,chr3,122458846,122512671,-,5438
ENSG00000169093.10,ASMTL,protein_coding,chrX,1522032,1572655,-,3506
ENSG00000169100.8,SLC25A6,protein_coding,chrX,1505045,1511617,-,2164
ENSG00000169105.6,CHST14,protein_coding,chr15,40763160,40765353,+,2194
ENSG00000169116.7,PARM1,protein_coding,chr4,75858305,75975325,+,5034
ENSG00000169118.11,CSNK1G1,protein_coding,chr15,64457716,64648442,-,8414
ENSG00000169122.7,FAM110B,protein_coding,chr8,58907068,59116838,+,4943
ENSG00000169126.11,ARMC4,protein_coding,chr10,28064115,28287977,-,5697
ENSG00000169129.10,AFAP1L2,protein_coding,chr10,116054583,116164515,-,5948
ENSG00000169131.6,ZNF354A,protein_coding,chr5,178138593,178157703,-,2947
ENSG00000169136.4,ATF5,protein_coding,chr19,50431959,50437192,+,2954
ENSG00000169139.7,UBE2V2,protein_coding,chr8,48920960,48977268,+,6606
ENSG00000169154.4,GOT1L1,protein_coding,chr8,37791799,37797647,-,1579
ENSG00000169155.5,ZBTB43,protein_coding,chr9,129567285,129600489,+,7052
ENSG00000169164.7,RP11-167P23.2,pseudogene,chrX,55681142,55683447,-,293
ENSG00000169169.10,CPT1C,protein_coding,chr19,50194155,50216988,+,5864
ENSG00000169174.9,PCSK9,protein_coding,chr1,55505221,55530525,+,5163
ENSG00000169180.7,XPO6,protein_coding,chr16,28109300,28223241,-,7065
ENSG00000169181.8,GSG1L,protein_coding,chr16,27798850,28074830,-,5219
ENSG00000169184.5,MN1,protein_coding,chr22,28144265,28197486,-,7693
ENSG00000169188.4,APEX2,protein_coding,chrX,55026790,55035490,+,3245
ENSG00000169189.12,NSMCE1,protein_coding,chr16,27236312,27280115,-,3770
ENSG00000169193.7,CCDC126,protein_coding,chr7,23636998,23684327,+,3550
ENSG00000169194.5,IL13,protein_coding,chr5,131991955,131996802,+,2887
ENSG00000169202.3,OR10G1P,pseudogene,chr14,22070049,22070976,-,928
ENSG00000169203.12,RP11-231C14.4,protein_coding,chr16,29495010,29517320,-,4250
ENSG00000169208.1,OR10G3,protein_coding,chr14,22037934,22038875,-,942
ENSG00000169213.6,RAB3B,protein_coding,chr1,52373628,52456436,-,12844
ENSG00000169214.2,OR6F1,protein_coding,chr1,247875045,247876105,-,1061
ENSG00000169217.4,CD2BP2,protein_coding,chr16,30362087,30366682,-,3773
ENSG00000169218.9,RSPO1,protein_coding,chr1,38076951,38100595,-,3160
ENSG00000169220.13,RGS14,protein_coding,chr5,176784838,176799602,+,3797
ENSG00000169221.9,TBC1D10B,protein_coding,chr16,30368423,30381585,-,6699
ENSG00000169223.10,LMAN2,protein_coding,chr5,176758563,176778853,-,2357
ENSG00000169224.8,GCSAML,protein_coding,chr1,247670360,247740992,+,4691
ENSG00000169228.9,RAB24,protein_coding,chr5,176728199,176730745,-,2065
ENSG00000169230.5,PRELID1,protein_coding,chr5,176730775,176733960,+,1875
ENSG00000169231.9,THBS3,protein_coding,chr1,155165379,155178842,-,4559
ENSG00000169239.8,CA5B,protein_coding,chrX,15706953,15805747,+,7735
ENSG00000169241.13,SLC50A1,protein_coding,chr1,155107820,155111329,+,2320
ENSG00000169242.7,EFNA1,protein_coding,chr1,155099936,155107333,+,2539
ENSG00000169245.4,CXCL10,protein_coding,chr4,76942273,76944650,-,1173
ENSG00000169246.12,NPIPB3,protein_coding,chr16,21413558,21459888,-,5591
ENSG00000169247.7,SH3TC2,protein_coding,chr5,148303202,148442726,-,15047
ENSG00000169248.8,CXCL11,protein_coding,chr4,76954835,76962568,-,1908
ENSG00000169249.8,ZRSR2,protein_coding,chrX,15808595,15841383,+,2077
ENSG00000169251.8,NMD3,protein_coding,chr3,160822484,160971320,+,4869
ENSG00000169252.4,ADRB2,protein_coding,chr5,148206156,148208196,+,2041
ENSG00000169253.3,RP11-220D10.1,pseudogene,chr9,111389113,111389430,+,318
ENSG00000169255.9,B3GALNT1,protein_coding,chr3,160801671,160823172,-,4183
ENSG00000169258.6,GPRIN1,protein_coding,chr5,176022803,176037134,-,4211
ENSG00000169271.1,HSPB3,protein_coding,chr5,53751445,53752207,+,763
ENSG00000169282.13,KCNAB1,protein_coding,chr3,155755490,156256545,+,6414
ENSG00000169288.13,MRPL1,protein_coding,chr4,78783674,78873944,+,1943
ENSG00000169291.5,SHE,protein_coding,chr1,154442248,154474589,-,8441
ENSG00000169297.6,NR0B1,protein_coding,chrX,30322323,30327715,-,2203
ENSG00000169299.9,PGM2,protein_coding,chr4,37828255,37864558,+,3704
ENSG00000169302.10,STK32A,protein_coding,chr5,146614526,146767415,+,7805
ENSG00000169306.5,IL1RAPL1,protein_coding,chrX,28605516,29974840,+,3667
ENSG00000169313.9,P2RY12,protein_coding,chr3,151055168,151102600,-,1859
ENSG00000169314.10,C22orf15,protein_coding,chr22,24105208,24108048,+,2086
ENSG00000169325.9,GUSBP12,pseudogene,chr7,57268438,57271304,-,750
ENSG00000169327.3,OR5AU1,protein_coding,chr14,21623026,21624222,-,1197
ENSG00000169330.4,KIAA1024,protein_coding,chr15,79724858,79764632,+,6800
ENSG00000169340.5,PDILT,protein_coding,chr16,20370492,20416059,-,2276
ENSG00000169344.11,UMOD,protein_coding,chr16,20344374,20367623,-,3412
